no,sort,industry,감축 대상 설비,개선 구분,act,투자비 회수기간,투자비 회수기간 단위,money,절감액 단위,투자비,투자비 단위,진단 연도,에너지 사용량 규모,에너지 절감 종류,에너지 절감량(연료),연료 단위,에너지 절감량(전력),전력 단위,deco2,감축량 단위
31300,제조업,manufacture,열사용설비(기타),운전관리,FEMS도입,1.32,yr,38000,백만원/yr,50000,백만원,2018,20만 toe이상,기타,96556.7,toe/yr,11087.3,toe/yr,154652.8,tCO₂/yr
44240,제조업,manufacture,로,신설비도입,NCC공정 고방사코팅제도입,0.56,yr,14289,백만원/yr,8000,백만원,2018,20만 toe이상,기타,25745.6,toe/yr,0,toe/yr,39622.5,tCO₂/yr
11655,제조업,manufacture,수.발.배전 설비,기존설비통폐합,NCC를 통한 BPA 전력 수전,2.87,yr,1045,백만원/yr,3000,백만원,2020,20만 toe이상,전기(소비기준),0,toe/yr,36472.4,toe/yr,19908.52,tCO₂/yr
30863,제조업,manufacture,열사용설비(기타),보온강화,예열대 보온도료 적용,1.35,yr,1385,백만원/yr,1870,백만원,2016,20만 toe이상,(2011)연료용 유연탄(역청탄),9408,toe/yr,0,toe/yr,9526.38,tCO₂/yr
41441,제조업,manufacture,기타전기설비,전기기타,펌프교체 및 운전대수 조정,0.72,yr,1100,백만원/yr,790,백만원,2017,20만 toe이상,(2011)전기기타,0,toe/yr,2755,toe/yr,5636,tCO₂/yr
17357,제조업,manufacture,열사용설비(반응기류),유류-전기,폐수를 증발 농축하여 열원으로 활용,2.37,yr,1300,백만원/yr,3080,백만원,2010,10만teo ~ 20만toe,유류기타,6148,toe/yr,-284,toe/yr,5227,tCO₂/yr
1919,제조업,manufacture,수.발.배전 설비,가스터어빈,가스터빈 열병합 발전 도입,4.48,yr,1632.87,백만원/yr,7319.6,백만원,2020,2만teo ~ 5만toe,전기(발전기준),2660.88,toe/yr,6231.62,toe/yr,5043.26,tCO₂/yr
40191,제조업,manufacture,보일러,연료대체,보일러 연료전환(LNG→목재펠릿),0.8,yr,1998,백만원/yr,1600,백만원,2012,2만teo ~ 5만toe,가스기타,0.01,toe/yr,0,toe/yr,4401.5,tCO₂/yr
37782,제조업,manufacture,공기 압축기 설비,적정유량관리,LP 압축기 원단위 개선,0.93,yr,3428,백만원/yr,3200,백만원,2020,20만 toe이상,전기(소비기준),0,toe/yr,7930,toe/yr,4328.6,tCO₂/yr
34004,제조업,manufacture,열사용설비(기타),열회수-폐수,냉동기 냉각수 및 RO 농축수 폐열 회수,1.15,yr,174,백만원/yr,200,백만원,2014,2만teo ~ 5만toe,증기,182.5,toe/yr,143.8,toe/yr,4084.11,tCO₂/yr
47707,건설업,building,요,보온강화,고효율 방사체 시공으로 연료절감,0.35,yr,1233,백만원/yr,430.18,백만원,2021,20만 toe이상,연료용 유연탄(역청탄),6635.77,toe/yr,0,toe/yr,6889.95,tCO₂/yr
15159,건설업,building,열사용설비(반응기류),전기-연료,MVR적용,2.57,yr,2682,백만원/yr,6880,백만원,2007,20만 toe이상,벙커 C유,9576,toe/yr,-6140.4,toe/yr,5077.46,tCO₂/yr
51189,건설업,building,보일러,연료대체,보일러열원변경(BC유->LNG),0.12,yr,3473,백만원/yr,400,백만원,2008,2만teo ~ 5만toe,기타,0,toe/yr,0,toe/yr,4046,tCO₂/yr
49077,건설업,building,열사용설비(건조기류),열회수-배증기,열교환기를 설치하여 폐열회수,0.27,yr,641.4,백만원/yr,171,백만원,2008,10만teo ~ 20만toe,증기,1016.8,toe/yr,45.4,toe/yr,3886,tCO₂/yr
48147,건설업,building,열사용설비(건조기류),운전방법개선,수분량 조정하여 급배기량 개선,0.33,yr,600,백만원/yr,200,백만원,2008,10만teo ~ 20만toe,증기,862.2,toe/yr,0,toe/yr,3295,tCO₂/yr
37517,건설업,building,로,신설비도입,관수 열회수 시스템 적용,0.95,yr,29.5,백만원/yr,28,백만원,2012,1만teo ~ 2만toe,증기,53.9,toe/yr,0,toe/yr,3133.9,tCO₂/yr
26776,건설업,building,열사용 설비,차압발전도입,증기감압을 이용해서 전력 생산,1.63,yr,1574.3,백만원/yr,2560,백만원,2014,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,5030.1,toe/yr,2805.92,tCO₂/yr
39094,건설업,building,열사용설비(건조기류),배공기열회수,슬러지 건조기 배기열 회수,0.86,yr,175,백만원/yr,150,백만원,2014,2만teo ~ 5만toe,(2011)증기,949,toe/yr,0,toe/yr,2796.8,tCO₂/yr
5617,건설업,building,열사용설비(기타),열회수-폐수,판형 열교환기 설치,3.69,yr,217,백만원/yr,800,백만원,2008,10만teo ~ 20만toe,온수,2765,toe/yr,0,toe/yr,2419,tCO₂/yr
21253,건설업,building,조명 설비,조명개선,LED 교체,2.04,yr,1060.1,백만원/yr,2162.22,백만원,2014,2만teo ~ 5만toe,(2011)전기(소비기준),0,toe/yr,2315.6,toe/yr,1291.7,tCO₂/yr
10421,도매 및 소매업,retail,보일러,유류-유류,LNG로 연료전환,2.98,yr,235,백만원/yr,700,백만원,2007,2만teo ~ 5만toe,기타,3462,toe/yr,0,toe/yr,7078,tCO₂/yr
54069,도매 및 소매업,retail,보일러,연료대체,외부로부터 스팀 구매,0,yr,1125,백만원/yr,0,백만원,2015,2만teo ~ 5만toe,(2011)도시가스(LNG),6413.83,toe/yr,0,toe/yr,4085.61,tCO₂/yr
52051,도매 및 소매업,retail,열사용설비(반응기류),신설비도입,스팀 지거설치,0.04,yr,1307,백만원/yr,50,백만원,2007,2만teo ~ 5만toe,증기,2988,toe/yr,0,toe/yr,2615,tCO₂/yr
23534,도매 및 소매업,retail,열사용설비(염색기류),열회수-폐수,폐수 열회수 펌프 설치,1.87,yr,482.44,백만원/yr,900,백만원,2012,5천teo ~ 1만toe,증기,636.42,toe/yr,0,toe/yr,2393.38,tCO₂/yr
24327,도매 및 소매업,retail,보일러,운전방법개선,수관식보일러를 고효율보일러로 신설설치,1.8,yr,1168.66,백만원/yr,2100,백만원,2020,2만teo ~ 5만toe,도시가스(LNG),2011.97,toe/yr,0,toe/yr,1160.71,tCO₂/yr
24178,도매 및 소매업,retail,열사용설비(염색기류),열회수-폐가스,열처리공정 배기열을 보일러 연소용공기로 활용,1.82,yr,1100,백만원/yr,2000,백만원,2009,10만teo ~ 20만toe,유류기타,359,toe/yr,0,toe/yr,1091,tCO₂/yr
6899,도매 및 소매업,retail,수.발.배전 설비,스팀터어빈,추기를 이용한 증기터빈 발전,3.46,yr,821.86,백만원/yr,2840,백만원,2013,2만teo ~ 5만toe,(2011)전기(소비기준),0,toe/yr,1932,toe/yr,1077.72,tCO₂/yr
47405,도매 및 소매업,retail,열사용설비(기타),열회수-배증기,재증발 증기 회수 후 재사용,0.37,yr,81.69,백만원/yr,30,백만원,2017,5천teo ~ 1만toe,(2011)증기,119.44,toe/yr,0,toe/yr,1037.64,tCO₂/yr
27490,도매 및 소매업,retail,열사용설비(기타),설비대체,스팀 이젝터 대신 진공펌프설치,1.58,yr,947,백만원/yr,1500,백만원,2009,10만teo ~ 20만toe,증기,1093,toe/yr,0,toe/yr,1019,tCO₂/yr
16503,도매 및 소매업,retail,로,부속장치교체및보완,일반버너를 산소부화식으로 개선,2.45,yr,367.7,백만원/yr,900,백만원,2011,1만teo ~ 2만toe,벙커 C유,614.8,toe/yr,0,toe/yr,537.95,tCO₂/yr
27262,광업,mining,로,폐열회수,열연 가열로 배가스 폐열회수,1.59,yr,4847,백만원/yr,7710,백만원,2017,20만 toe이상,(2011)기타,8454,toe/yr,0,toe/yr,31837,tCO₂/yr
25675,광업,mining,로,신설비도입,산소부하연소 시스템 도입,1.71,yr,4269,백만원/yr,7300,백만원,2008,20만 toe이상,도시가스(LNG),15224.7,toe/yr,0,toe/yr,9698.13,tCO₂/yr
33788,광업,mining,보일러,배공기열회수,배가스열 회수하여 GT 흡입공기 냉각,1.16,yr,5340,백만원/yr,6200,백만원,2017,20만 toe이상,(2011)기타,-4375,toe/yr,16835,toe/yr,6266,tCO₂/yr
26185,광업,mining,보일러,열회수-폐가스,폐열보일러 용량 증대,1.67,yr,3284,백만원/yr,5500,백만원,2014,20만 toe이상,(2011)기타,7201,toe/yr,-828,toe/yr,5185.6,tCO₂/yr
54613,광업,mining,로,운전방법개선,압연가열로 가동율 향상,0,yr,6439.79,백만원/yr,0,백만원,2012,5만teo ~ 10만toe,도시가스(LNG),7330.2,toe/yr,0,toe/yr,4669.34,tCO₂/yr
12092,광업,mining,기타전기설비,운전대수조정,수냉철근 공법설치,2.84,yr,3171.23,백만원/yr,9000,백만원,2017,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,6523.41,toe/yr,3638.93,tCO₂/yr
19842,광업,mining,로,공법개선,재처리용 C슬래그 냉각 방법 변경,2.16,yr,1391,백만원/yr,3000,백만원,2008,10만teo ~ 20만toe,벙커 C유,3529.4,toe/yr,0,toe/yr,3088.23,tCO₂/yr
45021,광업,mining,열사용설비(기타),공기비조정,기계식 진공펌프 도입 및 냉각수 공급운전 합리화,0.52,yr,1937,백만원/yr,1000,백만원,2011,20만 toe이상,기타,1959,toe/yr,464,toe/yr,2924,tCO₂/yr
44480,광업,mining,로,열회수-냉각수,스키드 파이프 냉각열을 활용한 순수 예열,0.55,yr,1722,백만원/yr,940,백만원,2014,20만 toe이상,(2011)기타,3470,toe/yr,0,toe/yr,2721.8,tCO₂/yr
22849,광업,mining,펌프 설비,전기기타,흡수식냉동기 설치,1.92,yr,2967,백만원/yr,5700,백만원,2017,20만 toe이상,(2011)전기기타,-4700,toe/yr,9323,toe/yr,2207.05,tCO₂/yr
1723,운수업,transportation,조명 설비,조명개선,공장 메탈등 LED로 대체,4.54,yr,4569,백만원/yr,20733,백만원,2017,20만 toe이상,(2011)전기(소비기준),0,toe/yr,9334.3,toe/yr,5206.92,tCO₂/yr
37838,운수업,transportation,요로 설비,공정개선,전기용해로를 가스 용해로로 교체,0.93,yr,567.9,백만원/yr,530,백만원,2015,1만teo ~ 2만toe,(2011)전기기타,0,toe/yr,3290.2,toe/yr,1655.62,tCO₂/yr
30458,운수업,transportation,공기 압축기 설비,운전방법개선,공기압축기 시스템 개선을 통한 에너지절감,1.38,yr,945.5,백만원/yr,1306,백만원,2013,10만teo ~ 20만toe,전력,0,toe/yr,2289.74,toe/yr,1231.13,tCO₂/yr
1976,운수업,transportation,보일러,열회수-배증기,잉여 증기회수 고온수 생산,4.47,yr,1408.37,백만원/yr,6300,백만원,2015,10만teo ~ 20만toe,(2011)프로판,1455.64,toe/yr,0,toe/yr,1037.87,tCO₂/yr
22667,운수업,transportation,공조기 설비,자동제어시스템도입,개별식 에어컨 원격제어시스템,1.94,yr,649,백만원/yr,1260,백만원,2009,10만teo ~ 20만toe,전력,0,toe/yr,1814,toe/yr,975.34,tCO₂/yr
50191,운수업,transportation,일반 생산 전력 설비,운전관리,무부하 운전시 대기전력 차단,0.19,yr,670.33,백만원/yr,130,백만원,2015,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,1377.79,toe/yr,768.57,tCO₂/yr
35314,운수업,transportation,공기 압축기 설비,조업개선,LNG탱크실 건조시스템 개선,1.07,yr,656.4,백만원/yr,701.5,백만원,2017,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,1336.04,toe/yr,745.28,tCO₂/yr
20141,운수업,transportation,로,보온강화,"용해로, 주조기, 열처리로의 표면방열 손실을 단열개선",2.13,yr,668,백만원/yr,1426,백만원,2016,2만teo ~ 5만toe,(2011)도시가스(LNG),669.6,toe/yr,486.22,toe/yr,656.46,tCO₂/yr
46902,운수업,transportation,기타전기설비,기타설비보완,외주부 공조 시스템 개선,0.4,yr,532.3,백만원/yr,211.3,백만원,2017,10만teo ~ 20만toe,(2011)전기(소비기준),0,toe/yr,1083.53,toe/yr,604.42,tCO₂/yr
37106,운수업,transportation,냉동 및 열-펌프 설비,운전대수조정,노후 냉동기 교체 및 대수제어,0.97,yr,567,백만원/yr,550,백만원,2015,2만teo ~ 5만toe,(2011)전기(소비기준),0,toe/yr,1026.9,toe/yr,572.83,tCO₂/yr
3111,하수폐기처리원료재생환경복원,recycle,열사용설비(반응기류),운전관리,Column OVHD 냉각열량 회수하여 저압스팀 생산,4.18,yr,16202,백만원/yr,67700,백만원,2019,20만 toe이상,기타,-4466,toe/yr,43050,toe/yr,20268.3,tCO₂/yr
49670,하수폐기처리원료재생환경복원,recycle,열사용설비(기타),열회수-폐가스,냉각열을 이용하여 탈기기 공급용 DW 예열,0.23,yr,7080,백만원/yr,1600,백만원,2008,20만 toe이상,기타,8968,toe/yr,0,toe/yr,7846,tCO₂/yr
27352,하수폐기처리원료재생환경복원,recycle,열사용설비(반응기류),열회수-배증기,OVHD 증기 냉각열량을 이용하여 LS발생,1.59,yr,2766,백만원/yr,4400,백만원,2007,20만 toe이상,벙커 C유,8465,toe/yr,0,toe/yr,7406.88,tCO₂/yr
39829,하수폐기처리원료재생환경복원,recycle,열사용설비(기타),공정개선,탈기기 보충수를 온수로 예열,0.82,yr,6122,백만원/yr,5000,백만원,2014,20만 toe이상,(2011)증기,6117,toe/yr,0,toe/yr,3897,tCO₂/yr
25511,하수폐기처리원료재생환경복원,recycle,열사용설비(기타),열회수-폐수,벤트 증기열 회수 열 교환기 설치로 탈기기 LP 스팀 절감,1.72,yr,1743,백만원/yr,3000,백만원,2011,20만 toe이상,증기,2195,toe/yr,0,toe/yr,1921,tCO₂/yr
35301,하수폐기처리원료재생환경복원,recycle,로,보온강화,용광로 내화재 코팅,1.07,yr,1498,백만원/yr,1600,백만원,2019,20만 toe이상,도시가스(LNG),2613,toe/yr,0,toe/yr,1512.16,tCO₂/yr
27327,하수폐기처리원료재생환경복원,recycle,열사용설비(건조기류),설비대체,스팀 이젝터를 진공펌프로 대체,1.59,yr,629,백만원/yr,1000,백만원,2009,20만 toe이상,유류기타,1512,toe/yr,0,toe/yr,1040,tCO₂/yr
2956,하수폐기처리원료재생환경복원,recycle,로,가스-유류,소화가스 경제적 이용,4.23,yr,638.5,백만원/yr,2700,백만원,2009,2만teo ~ 5만toe,가스기타,302.4,toe/yr,1200.7,toe/yr,1028.9,tCO₂/yr
2659,하수폐기처리원료재생환경복원,recycle,수.발.배전 설비,열병합도입 기타,잉여소화가스를 이용한 전력생산,4.29,yr,815.21,백만원/yr,3500,백만원,2019,5천teo ~ 1만toe,전기(발전기준),0,toe/yr,1727.92,toe/yr,979.97,tCO₂/yr
34797,하수폐기처리원료재생환경복원,recycle,로,벽단열,가열로 내화재 세라믹 코팅,1.1,yr,1059,백만원/yr,1165,백만원,2019,20만 toe이상,도시가스(LNG),1661,toe/yr,0,toe/yr,958.23,tCO₂/yr
36209,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,설비대체,인라인설비적용,1.02,yr,927,백만원/yr,950,백만원,2009,5천teo ~ 1만toe,전력,0,toe/yr,3160,toe/yr,1699.05,tCO₂/yr
52291,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,운전대수조정,고효율 펌프 우선가동,0,yr,1029,백만원/yr,0,백만원,2021,2만teo ~ 5만toe,전기(소비기준),0,toe/yr,2220.38,toe/yr,1212,tCO₂/yr
39957,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,회전수제어설비도입,냉각수펌프 회전수제어설비 도입,0.81,yr,764,백만원/yr,620,백만원,2016,2만teo ~ 5만toe,(2011)전기(소비기준),0,toe/yr,1747,toe/yr,974.52,tCO₂/yr
3750,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,부속장치교쳬및보완,취수장 고효율 펌프 교체,4.04,yr,227.8,백만원/yr,920,백만원,2012,1만teo ~ 2만toe,---2011년 개정 후---,0,toe/yr,671,toe/yr,360.78,tCO₂/yr
20788,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,운전방법개선,취. 송수펌프의 효율관리 및 개선 ,2.08,yr,180.2,백만원/yr,375,백만원,2012,1만teo ~ 2만toe,전력,0,toe/yr,613.46,toe/yr,329.84,tCO₂/yr
46240,"전기, 가스, 증기 및 수도사업",energy,펌프 설비,기타설비보완,펌프내부코팅,0.45,yr,146,백만원/yr,65,백만원,2007,1만teo ~ 2만toe,전력,0,toe/yr,506.97,toe/yr,272.58,tCO₂/yr
5411,"전기, 가스, 증기 및 수도사업",energy,동력설비,고효율전동기설치,인버터 설치로 회전수제어 전력절감,3.73,yr,120.6,백만원/yr,450,백만원,2008,5천toe 이하,전력,0,toe/yr,358.8,toe/yr,192.92,tCO₂/yr
14013,"전기, 가스, 증기 및 수도사업",energy,보일러,신설비도입,공기열 히트펌프 도입,2.67,yr,299.2,백만원/yr,800,백만원,2020,5천teo ~ 1만toe,천연가스(LNG),765.6,toe/yr,-516.2,toe/yr,161.63,tCO₂/yr
42938,"전기, 가스, 증기 및 수도사업",energy,기타전기설비,공정개선,벤츄리미터 철거를 통하여 소비전력을 절감,0.64,yr,78.6,백만원/yr,50,백만원,2012,2만teo ~ 5만toe,전력,0,toe/yr,229.8,toe/yr,123.56,tCO₂/yr
29110,"전기, 가스, 증기 및 수도사업",energy,보일러,열회수-폐가스,보일러 배기가스 폐열회수,1.47,yr,131,백만원/yr,192,백만원,2008,5천toe 이하,프로판,148.73,toe/yr,0,toe/yr,106.04,tCO₂/yr
1213,"농업, 임업 및 어업",primary,냉동 및 열-펌프 설비,관리방법개선,스크류 냉동기 스케일 제거,4.67,yr,15.85,백만원/yr,74,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,79.76,toe/yr,44.49,tCO₂/yr
39060,"농업, 임업 및 어업",primary,공기 압축기 설비,배공기열회수,공기압축기 배기열을 이용한 난방,0.86,yr,13.37,백만원/yr,11.5,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,63.39,toe/yr,35.36,tCO₂/yr
15189,"농업, 임업 및 어업",primary,냉동 및 열-펌프 설비,회전수제어설비도입,냉동기 응축기 스피드 컨트롤,2.56,yr,13.26,백만원/yr,34,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,62.87,toe/yr,35.07,tCO₂/yr
12565,"농업, 임업 및 어업",primary,펌프 설비,신설비도입,고효율 펌프 적용,2.8,yr,11.84,백만원/yr,33.16,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,59.57,toe/yr,33.23,tCO₂/yr
13071,"농업, 임업 및 어업",primary,열사용 설비,열회수-응축수,살균기 응축수를 식당 사무실난방에 이용,2.76,yr,8.68,백만원/yr,24,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,41.18,toe/yr,22.97,tCO₂/yr
2317,"농업, 임업 및 어업",primary,열사용 설비,열회수-폐수,살균기 응축수 난방 이용,4.38,yr,4.57,백만원/yr,20,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,22.99,toe/yr,12.82,tCO₂/yr
20891,"농업, 임업 및 어업",primary,공조기 설비,환기량 조정,생육동 냉동기실 침입외기 차단,2.07,yr,2.42,백만원/yr,5,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,11.46,toe/yr,6.39,tCO₂/yr
37445,"농업, 임업 및 어업",primary,열사용 설비,보온단열강화,스팀사용장비 및 배관보온,0.95,yr,2,백만원/yr,1.9,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,8.93,toe/yr,4.98,tCO₂/yr
53292,"농업, 임업 및 어업",primary,공기 압축기 설비,적정압력관리,스크류 공기압축기 적정압력 사용,0,yr,1.7,백만원/yr,0,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,8.57,toe/yr,4.78,tCO₂/yr
32805,"농업, 임업 및 어업",primary,공기 압축기 설비,운전방법개선,스크류 공기압축기 흡입온도 개선,1.22,yr,0.67,백만원/yr,0.82,백만원,2017,5천toe 이하,(2011)전기(소비기준),0,toe/yr,3.39,toe/yr,1.89,tCO₂/yr
